Rayon,Grp de famille,Famille,Sous famille,DT,DR,Magasin,Barcode,Produit,Assort-typo,Nb jours sans ventes,Motif non détention,Stock UG,SMP,VMH mag,VMH nat,CA TTC mag 3 mois,CA TTC moy 3 mois Market,Potentiel gain mensuel
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF IDF NORMANDIE,PARIS SUD F,NANTERRE CHEMIN ILE,7322540928525,6=12 RLX PH MOLT SS TUBE LOTUS,DPK-2,null,Dépicking,null,1,null,6.749042553,null,642.827756073,214.275918691
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300005 - INCONTINENCE,DTF GRAND OUEST,PAYS DE LA LOIRE F,NANTES -FEYDEAU,3560071185718,X14 CULOT.INCON.ADULT. CRF SOF,DPK-1,5,Dépicking,21,2,1.4,2.927389706,97.9,371.644359641,123.881453214
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300005 - INCONTINENCE,DTF GRAND OUEST,PAYS DE LA LOIRE F,NANTES -FEYDEAU,3560071185688,X14 CULO INCONT.ADULT.M.CRF SF,DPK-1,259,Dépicking,28,2,null,2.662859796,null,340.548536496,113.516178832
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300001 - COTONS ADULTES,DTF GRAND OUEST,PAYS DE LA LOIRE F,NANTES -FEYDEAU,3560070241590,80X COTON MAXI OVAL DUO. CRF,DPK-1,102,Dépicking,0,1,null,13.632075472,null,297.050760286,99.016920095
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320010 - ENTRETIEN PRODUITS FEUX,DTF GRAND OUEST,PAYS DE LA LOIRE F,NANTES -RP DE VANNES,3383482306417,96 CUBES ALLUME FEU SANS ODEUR,DPK-1,413,Dépicking,null,1,null,4.382939633,null,233.777970495,77.925990165
03 - D.P.H.,310 - PAPIERS MENAGERS,310 - PAPIERS ET EMBALLAGES MENAGERS,310001 - ESSUIE-TOUT,DTF GRAND OUEST,SUD OUEST F,NERAC,3560070809950,X2  ET 3P XXL ULTRA ABSORB CRF,DPK-1,35,Dépicking,0,3,null,21.863151042,197.4,727.782250729,242.594083576
03 - D.P.H.,310 - PAPIERS MENAGERS,310 - PAPIERS ET EMBALLAGES MENAGERS,310001 - ESSUIE-TOUT,DTF GRAND OUEST,SUD OUEST F,NERAC,5601028030281,ESSUIE TT RENOVA INSTAGRAM X4,DPK-1,76,Dépicking,0,1,null,11.396421846,30.82,347.055988816,115.685329605
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300004 - HYGIENE FEMININE,DTF GRAND OUEST,SUD OUEST F,NERAC,8700216252799,X16 SERVIETTE VP LONG PLUS AL,DPK-1,7,Dépicking,0,3,3.033333333,3.787876053,218.75,416.045756295,138.681918765
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF GRAND OUEST,SUD OUEST F,NERAC,3133200054072,6 RLX PH ULTRA DOUX AQUA LOTUS,DPK-2,5,Dépicking,0,1,0.933333333,6.954347826,159.31,352.977193296,117.659064432
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300005 - INCONTINENCE,DTF GRAND OUEST,SUD OUEST F,NERAC,7322540426465,10 TENA MEN LEVEL 2,DPK-1,2,Dépicking,1,1,0.233333333,3.014267185,44.91,179.616237417,59.872079139
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300002 - MOUCHOIRS,DTF GRAND OUEST,SUD OUEST F,NERAC,3560071095000,MOUCHOIR BOITE 2PX150,DPK-1,58,Dépicking,0,8,null,75.927212721,58.4,662.617876122,220.872625374
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF GRAND OUEST,SUD OUEST F,NERAC,3133200095037,6RLX PH STYLE MOLT AQUA LOTUS,DPK-2,429,Dépicking,null,1,null,6.289393939,null,325.024963519,108.341654506
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF GRAND OUEST,SUD OUEST F,NERAC,3560071080921,X6 PH COMPACT 2P ROSE SIMPL,DPK-1,42,Dépicking,0,1,null,50.486762936,161.41,978.902145946,326.300715315
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF GRAND OUEST,SUD OUEST F,NERAC,3133200056748,6 RLX PH COLLECT AQUAT.LOTUS,DPK-2,null,Dépicking,null,1,null,8.466701066,null,356.274236923,118.758078974
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320005 - NETTOYANTS MENAGERS,DTF NORD EST,PICARDIE F,NEUILLY EN THELLE,3077313982061,5L VINAIGRE 14O ECO,DPK-1,45,Dépicking,0,1,null,1.725479351,97.3,148.27011465,49.42337155
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320010 - ENTRETIEN PRODUITS FEUX,DTF SUD EST,PACA 2 F,NICE -GAMBETTA,3383482306417,96 CUBES ALLUME FEU SANS ODEUR,DPK-1,null,Dépicking,0,1,null,4.382939633,null,233.777970495,77.925990165
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300002 - MOUCHOIRS,DTF SUD EST,PACA 2 F,NICE -GAMBETTA,3560071187620,BTE MCHRS ECOPLANET 100 F 3 P,DPK-1,51,Dépicking,0,15,null,9.572146944,89.35,181.030524708,60.343508236
03 - D.P.H.,286 - DENTAIRE,286 - DENTAIRE,286001 - DENTAIRE DENTIFRICE TUBE,DTF SUD EST,PACA 2 F,NICE -GAMBETTA,5054563206589,DENT SOIN COMPLET TA 75ML,DPK-1,14,Dépicking,12,1,null,3.481232493,null,124.943743889,41.64791463
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320005 - NETTOYANTS MENAGERS,DTF SUD EST,PACA 2 F,NICE -GAMBETTA,3077313982061,5L VINAIGRE 14O ECO,DPK-1,21,Dépicking,2,1,0.233333333,1.725479351,42.67,148.27011465,49.42337155
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,PACA + CORSE F,NICE -NOTRE DAME,3560071264024,X9 PH 4PLIS BLC EXT CONF CRF E,DPK-1,123,Dépicking,0,1,null,7.197942817,null,415.907615702,138.635871901
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320010 - ENTRETIEN PRODUITS FEUX,DTF SUD EST,PACA + CORSE F,NICE -NOTRE DAME,3383482306417,96 CUBES ALLUME FEU SANS ODEUR,DPK-1,null,Dépicking,0,1,null,4.382939633,null,233.777970495,77.925990165
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300002 - MOUCHOIRS,DTF SUD EST,PACA + CORSE F,NICE -NOTRE DAME,3560071184056,BOITE CUBIQUE 48 MOUCH 3P CRF,DPK-1,174,Dépicking,0,2,null,14.165734055,null,189.812079137,63.270693046
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300002 - MOUCHOIRS,DTF SUD EST,PACA + CORSE F,NICE -NOTRE DAME,3560070316908,24X 9 MOUCHOIRS 4PL CRF SOFT,DPK-1,172,Dépicking,0,4,null,16.355866426,null,474.06460216,158.021534053
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,PACA + CORSE F,NICE -NOTRE DAME,3133200095037,6RLX PH STYLE MOLT AQUA LOTUS,DPK-2,84,Dépicking,0,10,null,6.289393939,34.8,325.024963519,108.341654506
03 - D.P.H.,315 - PRODUITS DE LAVAGE,"315 - UNIVERS ""LINGE"" - LAVAGE",315001 - U.LINGE ANTI-CALCAIRES,DTF SUD EST,PACA + CORSE F,NICE -NOTRE DAME,3665468100142,"CALGON GEL 4EN1 2,25L",DPK-1,141,Dépicking,0,1,null,1.409315157,null,247.24666636,82.415555453
